GEOID,Totals
220710009024,177.0
220710009032,158.0
220710009033,158.0
220710009034,158.0
220710120002,596.0
220710022003,611.0
220710017484,804.0
220710017351,1522.0
220710017352,1319.0
220710017361,774.0
220710006182,2388.0
220710007012,136.0
220710007021,523.0
220710006132,1442.0
220710006133,2341.0
220710021002,716.0
220710022001,366.0
220710023001,207.0
220710023003,466.0
220710023004,358.0
220710023005,1082.0
220710024011,1293.0
220710017241,1104.0
220719800001,10.0
220710007024,334.0
220710009011,140.0
220710009012,267.0
220710009013,172.0
220710009022,146.0
220710033033,457.0
220710033041,1318.0
220710033042,1338.0
220710017362,1125.0
220710017373,714.0
220710138002,796.0
220710033072,576.0
220710033083,962.0
220710017232,2222.0
220710033013,398.0
220710033021,555.0
220710033022,1152.0
220710033023,923.0
220710033031,1113.0
220710033032,843.0
220710019001,375.0
220710085001,603.0
220710100002,305.0
220710075021,1168.0
220710006161,924.0
220710008003,567.0
220710128001,573.0
220710114002,1173.0
220710014012,269.0
220710027002,486.0
220710049004,307.0
220710069002,723.0
220710069003,345.0
220710070001,653.0
220710070002,1500.0
220710014011,344.0
220710014013,245.0
220710014014,302.0
220710014022,353.0
220710014023,384.0
220710009023,20.0
220710075025,667.0
220710033086,193.0
220710017431,1619.0
220710017432,878.0
220710017442,1542.0
220710017451,2225.0
220710017371,1929.0
220710017391,1289.0
220710017392,752.0
220710017402,1636.0
220710017411,1559.0
220710017491,1776.0
220710018002,731.0
220710019002,491.0
220710007023,98.0
220710006053,867.0
220710006061,1176.0
220710020002,500.0
220710006051,953.0
220710050002,562.0
220710054001,437.0
220710054002,444.0
220710054003,757.0
220710076041,1242.0
220710076042,643.0
220710076051,619.0
220710076052,847.0
220710077002,1448.0
220710139002,1038.0
220710056023,534.0
220710056024,562.0
220710056031,671.0
220710056032,640.0
220710056033,428.0
220710141003,994.0
220710141002,312.0
220710082001,1007.0
220710083001,527.0
220710084002,495.0
220710134001,485.0
220710122002,1189.0
220710123002,627.0
220710123003,936.0
220710124001,718.0
220710017502,783.0
220710011001,782.0
220710016001,0.0
220710091004,403.0
220710092001,400.0
220710092002,324.0
220710094001,280.0
220710094004,448.0
220710096001,402.0
220710096003,828.0
220710097001,583.0
220710097002,678.0
220710099001,940.0
220710099002,862.0
220710133022,830.0
220710055003,945.0
220710143002,128.0
220710017403,2350.0
220710017452,1801.0
220710017463,1934.0
220710140001,305.0
220710011002,1032.0
220710017471,2348.0
220710017472,1972.0
220710017481,1048.0
220710033085,704.0
220710040001,1092.0
220710017227,348.0
220710014016,101.0
220710017501,1387.0
220710017503,1314.0
220710017492,1337.0
220710040002,981.0
220710041001,782.0
220710135002,530.0
220710044011,339.0
220710009042,595.0
220710012002,516.0
220710013013,436.0
220710013014,461.0
220710013021,641.0
220710013022,539.0
220710006151,1388.0
220710006181,2506.0
220710006171,1743.0
220710026001,838.0
220710026002,770.0
220710027003,413.0
220710028001,429.0
220710028002,793.0
220710006062,1453.0
220710006063,1697.0
220710006072,1498.0
220710006073,2432.0
220710006131,1596.0
220710025014,708.0
220710025021,541.0
220710025024,599.0
220710025031,378.0
220710025033,729.0
220710025041,561.0
220710025042,781.0
220710025043,1015.0
220710031002,844.0
220710033011,1232.0
220710021001,660.0
220710069001,197.0
220710071011,1515.0
220710044012,365.0
220710017222,791.0
220710090003,803.0
220710025032,1007.0
220710037021,679.0
220710037026,542.0
220710038001,654.0
220710038002,630.0
220710039002,571.0
220710086002,598.0
220710142001,437.0
220710088001,765.0
220710088002,996.0
220710090001,582.0
220710090002,444.0
220710091001,689.0
220710091002,434.0
220710100003,473.0
220710100004,447.0
220710101001,1036.0
220710101002,1119.0
220710102001,270.0
220710102002,660.0
220710076061,1849.0
220710076063,1445.0
220710114001,773.0
220710116001,727.0
220710116002,730.0
220710117001,653.0
220710117002,867.0
220710117003,742.0
220710117004,1067.0
220710119001,515.0
220710119002,586.0
220710119003,519.0
220710072001,1336.0
220710072002,814.0
220710072003,814.0
220710075011,774.0
220710075013,449.0
220710075015,269.0
220710075022,620.0
220710075023,616.0
220710075024,833.0
220710131004,533.0
220710140004,281.0
220710006163,1731.0
220710045003,1216.0
220710055002,692.0
220719801001,0.0
220710037022,409.0
220710039001,482.0
220710017226,546.0
220710103004,535.0
220710017401,1339.0
220710133012,1647.0
220710037011,1184.0
220710134003,1596.0
220710007014,307.0
220710009041,451.0
220710037012,692.0
220710006111,1971.0
220710006112,2670.0
220710006121,2043.0
220710029003,265.0
220710029002,165.0
220710030001,394.0
220710030002,818.0
220710031001,624.0
220710033084,282.0
220710034001,776.0
220710034002,684.0
220710017234,983.0
220710024012,1054.0
220710024021,563.0
220710024022,1311.0
220710024023,453.0
220710025012,347.0
220710025013,548.0
220710044021,97.0
220710002001,620.0
220710006023,576.0
220710017231,1063.0
220710017242,1656.0
220710017251,1859.0
220710017252,1680.0
220710017253,2070.0
220710017441,1589.0
220710127001,546.0
220710141001,1063.0
220710056043,399.0
220710142003,398.0
220710115001,493.0
220710121022,1380.0
220710025011,749.0
220710092003,642.0
220710004002,810.0
220710006011,335.0
220710006172,3515.0
220710006022,956.0
220710006032,636.0
220710017012,512.0
220710017013,696.0
220710017021,774.0
220710017022,605.0
220710075014,341.0
220710133021,1313.0
220710014015,140.0
220710033082,1146.0
220710017372,789.0
220710138003,522.0
220710137003,1332.0
220710017462,697.0
220710017461,1121.0
220710017443,2003.0
220710006042,1272.0
220710006031,436.0
220710017301,1141.0
220710111002,666.0
220710050001,515.0
220710037023,599.0
220710094003,416.0
220710025044,622.0
220710131002,508.0
220710009031,276.0
220710007022,853.0
220710084001,526.0
220710035002,464.0
220710055001,1101.0
220719900000,0.0
220710028003,401.0
220710017243,1607.0
220710143001,598.0
220710133014,731.0
220710044013,280.0
220710142002,679.0
220710056012,802.0
220710033081,423.0
220710076062,637.0
220710091003,542.0
220710006052,422.0
220710017224,425.0
220710007011,55.0
220710140002,575.0
220710126003,283.0
220710132004,772.0
220710133011,641.0
220710133013,527.0
220710045002,809.0
220710045001,408.0
220710046002,1578.0
220710014024,636.0
220710015001,520.0
220710015002,410.0
220710017011,803.0
220710023002,302.0
220710033024,638.0
220710033071,806.0
220710135004,446.0
220710056042,736.0
220710126002,787.0
220710017254,1192.0
220710140003,893.0
220710064003,384.0
220710137002,252.0
220710009021,150.0
220710132003,463.0
220710127004,460.0
220710017233,815.0
220710136001,695.0
220710037025,357.0
220710085002,440.0
220710086001,581.0
220710006012,618.0
220710012001,714.0
220710012003,497.0
220710013011,735.0
220710063003,438.0
220710064001,667.0
220710064002,564.0
220710065002,884.0
220710065003,775.0
220710139001,610.0
220710134002,993.0
220710060001,2511.0
220710063001,646.0
220710063002,325.0
220710106002,617.0
220710107002,1081.0
220710109001,996.0
220710109002,775.0
220710109003,541.0
220710109004,417.0
220710111001,467.0
220710111003,893.0
220710112001,871.0
220710112002,723.0
220710145001,2261.0
220710122001,1021.0
220710137001,0.0
220710017201,833.0
220710017202,543.0
220710017203,1316.0
220710017204,863.0
220710017223,1137.0
220710017225,1134.0
220710006043,1056.0
220710121011,1171.0
220710121012,1832.0
220710121021,2230.0
220710121023,592.0
220710017023,811.0
220710017024,995.0
220710035001,528.0
220710035003,419.0
220710036003,473.0
220710103001,688.0
220710120001,741.0
220710131003,209.0
220710143003,1083.0
220710017244,1183.0
220710046003,626.0
220710135001,284.0
220710049001,620.0
220710049002,619.0
220710049003,0.0
220710027001,617.0
220710024024,928.0
220710018001,678.0
220710056011,734.0
220710100001,365.0
220710075012,665.0
220710017221,298.0
220710014021,574.0
220710025022,897.0
220710056041,418.0
220710006041,1564.0
220710019003,457.0
220710102004,778.0
220710008001,392.0
220710013012,408.0
220710017483,1042.0
220710036002,487.0
220710096002,461.0
220710008002,634.0
220710007013,334.0
220710128003,771.0
220710082002,518.0
220710025023,496.0
220710048001,389.0
220710130003,500.0
220710064004,526.0
220710020003,340.0
220710022002,759.0
220710108002,970.0
220710001003,464.0
220710002002,582.0
220710003001,629.0
220710003002,732.0
220710004001,1127.0
220710128002,837.0
220710129001,697.0
220710130001,510.0
220710001001,948.0
220710001002,1172.0
220710020001,458.0
220710099003,963.0
220710136002,634.0
220710006021,832.0
220710029001,539.0
220710138001,1346.0
220710037024,900.0
220710135003,654.0
220710056021,689.0
220710078001,1224.0
220710083002,676.0
220710094002,233.0
220710103003,1449.0
220710115002,787.0
220710044022,383.0
220710056013,508.0
220710056014,463.0
220710056022,804.0
220710102003,422.0
220710102005,427.0
220710103002,985.0
220710144001,352.0
220710144002,593.0
220710106001,942.0
220710006162,1606.0
220710017511,725.0
220710017341,854.0
220710011003,0.0
220710137004,843.0
220710123001,463.0
220710009014,374.0
220710108001,503.0
220710006071,751.0
220710033012,592.0
220710107001,794.0
220710036001,501.0
220710144003,697.0
220710017482,1495.0
220710046001,532.0
220710124002,1160.0
220710125001,630.0
220710125002,1180.0
220710126001,568.0
220710127002,1029.0
220710127003,426.0
220710129002,616.0
220710130002,558.0
220710131001,325.0
220710132001,736.0
220710132002,801.0
220710006152,2860.0
220710065001,1091.0
220710041002,719.0
220710077001,753.0
220710071012,1268.0
